Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/22/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467703911,,,,,
Andorra,AND,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1022871402,1070429537,1157666822,1247831302,1317944270,1325090207,1368868424,1407724771,1428319833,1428913250,1460474059,1458539388,1476719523,1502859169,1529680510,1565191061,1616111762,1705759462,1792656380,1879188446,1950247955,1999901281,2018484671,1997664169,2045272407,2101670671,2199392934,2398826714,2475464141,2576935425,2606977005,2765136580,2942847626,3296693262,3562720067,3842026792,4018195654,4021331428,3675727911,3535389133,3346317329,3185604582,3129537612,3127549908,,
Afghanistan,AFG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8013233122,8689883606,8781610175,9762978844,10305228125,11721187594,12144482858,14697331941,15936800636,16911126453,19352203806,19731337261,19990317161,20294152243
Angola,AGO,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,27308217745,28072847844,30290602825,31986876577,32114824090,32018479612,31634257860,29451494067,22176975036,22953169160,25340298757,28178412209,30404506777,32473461136,33525536222,34535350910,35993076036,33494990432,35252638226,39087976314,46226007691,55811028115,68420444001,77874196512,79753199398,82470913121,85702615836,90120963241,96261432368,1.01E+11,1.04E+11
Albania,ALB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,5442066397,5754747683,5924431989,5989893305,5914924002,6020247739,6359623745,6309519917,6219922230,6831747928,6177564328,4349684962,4036507645,4424012380,4791205407,5428435726,5922423377,5280559675,5756277509,6533442516,6969002335,7522364217,7840663356,8293343316,8766856445,9268392517,9771760095,10348293942,11127520474,11500292411,11926953259,12231090568,12404772054,12542465022,12793314323,13120823169
Arab World,ARB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,5.04E+11,5.69E+11,6.18E+11,6.30E+11,6.97E+11,7.67E+11,7.98E+11,7.73E+11,7.51E+11,7.64E+11,7.60E+11,7.64E+11,7.68E+11,7.97E+11,8.16E+11,9.05E+11,8.94E+11,9.39E+11,9.77E+11,1.01E+12,1.04E+12,1.09E+12,1.14E+12,1.20E+12,1.24E+12,1.30E+12,1.33E+12,1.35E+12,1.41E+12,1.55E+12,1.64E+12,1.76E+12,1.86E+12,1.98E+12,2.01E+12,2.10E+12,2.17E+12,2.32E+12,2.39E+12,2.44E+12,2.51E+12
United Arab Emirates,ARE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,56055910246,65320190085,79324401300,78063457999,94397122680,1.17E+11,1.22E+11,1.14E+11,1.09E+11,1.13E+11,1.09E+11,92732830340,95869037705,93358316076,1.05E+11,1.24E+11,1.25E+11,1.29E+11,1.31E+11,1.40E+11,1.49E+11,1.58E+11,1.71E+11,1.71E+11,1.76E+11,1.96E+11,1.98E+11,2.03E+11,2.21E+11,2.42E+11,2.54E+11,2.79E+11,2.88E+11,2.97E+11,2.81E+11,2.86E+11,3.01E+11,3.22E+11,3.36E+11,3.51E+11,3.62E+11
Argentina,ARG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.21E+11,1.27E+11,1.26E+11,1.19E+11,1.32E+11,1.45E+11,1.44E+11,1.49E+11,1.56E+11,1.71E+11,1.77E+11,1.87E+11,1.90E+11,1.95E+11,2.06E+11,2.06E+11,2.02E+11,2.16E+11,2.06E+11,2.27E+11,2.36E+11,2.23E+11,2.12E+11,2.20E+11,2.25E+11,2.08E+11,2.24E+11,2.31E+11,2.25E+11,2.08E+11,2.03E+11,2.29E+11,2.56E+11,2.71E+11,2.87E+11,2.79E+11,2.94E+11,3.18E+11,3.30E+11,3.19E+11,3.17E+11,3.03E+11,2.70E+11,2.94E+11,3.20E+11,3.49E+11,3.79E+11,4.09E+11,4.22E+11,4.22E+11,4.62E+11,5.00E+11,5.04E+11,5.19E+11,5.21E+11,
Armenia,ARM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357857590,5613988348,3267341064,2979815090,3140725188,3357435176,3554362204,3672405406,3940491000,4070527203,4310688308,4722645336,5345387543,6095922453,6734033975,7667755682,8679746346,9873142201,10554389013,9060944166,9260284938,9695518330,10393595650,10736584306,11112364757,11445735700
American Samoa,ASM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,306603782.2,319432463.7,342890213.7,372361848,387568058.7,388216472,406378750.2,446015372.3,481653390.6,542916938.9,587779116.4,619647321.7,655418839.3,672099917,685786802.3,691603563,728881697.6,775002576.8,742632124.4,792682270.6,831411470,868057376.9,903835269.3,949404558.4,919078280.2,945954440,1001894699,1054859062,1119028549,1268714285,1389228751,1390216646,1222889961,1135539037,1115173876,1159998756,1155982145,1211723377,1256122384
Australia,AUS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.98E+11,2.03E+11,2.06E+11,2.19E+11,2.34E+11,2.48E+11,2.54E+11,2.70E+11,2.84E+11,3.04E+11,3.25E+11,3.38E+11,3.52E+11,3.61E+11,3.76E+11,3.81E+11,3.90E+11,4.04E+11,4.08E+11,4.25E+11,4.38E+11,4.52E+11,4.67E+11,4.57E+11,4.78E+11,5.03E+11,5.24E+11,5.37E+11,5.68E+11,5.90E+11,6.11E+11,6.09E+11,6.11E+11,6.36E+11,6.62E+11,6.87E+11,7.15E+11,7.43E+11,7.76E+11,8.15E+11,8.46E+11,8.62E+11,8.96E+11,9.23E+11,9.62E+11,9.92E+11,1.02E+12,1.06E+12,1.10E+12,1.12E+12,1.14E+12,1.17E+12,1.21E+12,1.24E+12,1.27E+12,1.30E+12
Austria,AUT,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,92237791418,97345901229,99924277888,1.04E+11,1.10E+11,1.14E+11,1.21E+11,1.24E+11,1.30E+11,1.38E+11,1.46E+11,1.53E+11,1.63E+11,1.71E+11,1.77E+11,1.77E+11,1.85E+11,1.94E+11,1.94E+11,2.04E+11,2.08E+11,2.07E+11,2.12E+11,2.18E+11,2.18E+11,2.23E+11,2.29E+11,2.32E+11,2.39E+11,2.49E+11,2.59E+11,2.68E+11,2.74E+11,2.75E+11,2.82E+11,2.90E+11,2.97E+11,3.03E+11,3.14E+11,3.25E+11,3.36E+11,3.41E+11,3.46E+11,3.49E+11,3.58E+11,3.66E+11,3.78E+11,3.92E+11,3.98E+11,3.83E+11,3.90E+11,4.01E+11,4.04E+11,4.06E+11,4.07E+11,4.10E+11
Azerbaijan,AZE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22325675015,22169395298,17159111874,13195357108,10595871755,9345558793,9467051076,10016140088,11017754125,11833067994,13146538453,14448045760,15979538495,17769246844,19581710093,24751281716,33290473787,41629404407,46113899019,50453518393,52902703376,52937578302,54102205125,57238335961,58383102680,59025316810
Burundi,BDI,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,596608253.7,514597677.4,561236477.6,584445892.5,621108404.9,645749176.6,675537540.2,768907087,766616638.4,755427553.1,916527545.7,941702987.5,881396658.5,942116521.3,935268845.7,941796276.2,1016599962,1133198417,1122539825,1141229607,1152539828,1292726424,1279106260,1326629241,1328692733,1485254992,1533528459,1617920004,1699317954,1722250288,1782525984,1871595893,1890498980,1772531844,1704643875,1569636080,1444065193,1421104557,1488607023,1473572092,1460945583,1490979806,1557276512,1538219684,1612571959,1627085107,1714698066,1796760634,1887463245,1952928500,2026864469,2111823041,2196704928,2297622744,2404713060,2343732768
Belgium,BEL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1.21E+11,1.27E+11,1.33E+11,1.39E+11,1.49E+11,1.54E+11,1.59E+11,1.65E+11,1.72E+11,1.83E+11,1.94E+11,2.02E+11,2.13E+11,2.26E+11,2.36E+11,2.32E+11,2.45E+11,2.46E+11,2.53E+11,2.59E+11,2.71E+11,2.70E+11,2.72E+11,2.73E+11,2.79E+11,2.84E+11,2.89E+11,2.96E+11,3.10E+11,3.21E+11,3.31E+11,3.37E+11,3.42E+11,3.38E+11,3.49E+11,3.58E+11,3.63E+11,3.77E+11,3.84E+11,3.98E+11,4.13E+11,4.16E+11,4.23E+11,4.27E+11,4.42E+11,4.51E+11,4.63E+11,4.78E+11,4.82E+11,4.71E+11,4.84E+11,4.92E+11,4.93E+11,4.93E+11,4.99E+11,5.06E+11
Benin,BEN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1265426253,1305176841,1260456133,1320076061,1407871140,1482401907,1535410564,1551968411,1611600246,1657974011,1692754286,1667416432,1774570741,1840339266,1901793939,1808694556,1824689861,1915626267,1939668872,2066440730,2206581861,2426230120,2480457973,2372612057,2560756387,2753589661,2813373992,2771173299,2865538547,2783751478,3033624751,3161819648,3255337130,3445324207,3514933553,3727418268,3888602421,4111601652,4274462693,4502780954,4766643562,5020725248,5253911327,5434858389,5675602454,5772744796,6000595826,6359822427,6671033591,6825749998,6970240895,7176751732,7509969971,8026580503,8551638195,8999782271
Burkina Faso,BFA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1120811787,1166136608,1237606774,1221913718,1249807799,1296857381,1303829456,1418870435,1462440739,1492070973,1493816989,1514929700,1549947281,1556911619,1685923956,1736474411,1884680679,1891660661,1978825073,2051341523,2067688230,2155674637,2361804485,2369975968,2327821284,2526090319,2727049967,2720604944,2878280133,2940170849,2922443722,3187508913,3194926589,3305515297,3348983063,3540423456,3930392032,4178668401,4484033772,4816039657,4903703229,5228004716,5455579987,5881248337,6144638535,6676878621,7094394431,7495582799,8042347948,8280563450,8979966766,9565619495,10182857809,10554461357,10981684425,11418705176
